run_id,completed_at,employer,role,board_token,job_id,application_url,source_reference,policies_used,uploads_verified,controls_discovered,controls_filled,controls_blocked,handoff_reason,handoff_boundary
gh-e7c15c6b0023fc4682e2,2026-07-17T07:48:31Z,GitLab,"Customer Success Architect, EMEA",gitlab,8561952002,https://job-boards.greenhouse.io/gitlab/jobs/8561952002,github:29564193285:1,7,1,14,14,1,captcha_detected,post_fill_pre_action
gh-015f02bae83018a15b64,2026-07-17T12:25:48Z,Roofr,Sales Development Representative - Bilingual (English/Spanish),roofr,4708653005,https://job-boards.greenhouse.io/roofr/jobs/4708653005,github:29580076615:1,6,1,13,13,1,captcha_detected,post_fill_pre_action
gh-07475d7f09676e88bf68,2026-07-17T13:27:02Z,"FNS, Inc. Affiliates",Logistics Specialist,fns,4656153006,https://job-boards.greenhouse.io/fns/jobs/4656153006,github:29583871808:1,8,1,14,14,1,captcha_detected,post_fill_pre_action
gh-113ed6f0d7e50a0a959e,2026-07-17T13:27:02Z,Bloomreach,AI Demo Operations Specialist,bloomreach,8064322,https://job-boards.greenhouse.io/bloomreach/jobs/8064322,github:29583871808:1,5,1,12,12,1,captcha_detected,post_fill_pre_action
gh-36165ec397ef09f283a6,2026-07-17T13:27:02Z,Clutch Technologies Inc.,Field Specialist,clutch,6112527004,https://job-boards.greenhouse.io/clutch/jobs/6112527004,github:29583871808:1,7,1,13,13,1,captcha_detected,post_fill_pre_action
gh-63e30e84a8030e6d58e2,2026-07-17T17:56:42Z,TouchBistro,Customer Success Specialist,touchbistro,7797976003,https://job-boards.greenhouse.io/touchbistro/jobs/7797976003,github:29584244980:4,16,1,22,22,1,captcha_detected,post_fill_pre_action
gh-70d6cbe02e7ea2ebc2cf,2026-07-17T17:56:42Z,Too Good To Go,Bilingual Partner Growth Specialist (English/French),toogoodtogo,7776919003,https://job-boards.greenhouse.io/toogoodtogo/jobs/7776919003,github:29584244980:4,9,1,15,15,1,captcha_detected,post_fill_pre_action
gh-926d0d90890eb7e7391c,2026-07-17T17:56:42Z,DEPT®,Account Supervisor,dept,8009251,https://job-boards.greenhouse.io/dept/jobs/8009251,github:29584244980:4,5,1,11,11,1,captcha_detected,post_fill_pre_action
gh-14bbee01cf879fc753c2,2026-07-17T18:04:47Z,Figma,"Software Engineer, AI Platforms",figma,5691886004,https://job-boards.greenhouse.io/figma/jobs/5691886004,github:29602318645:1,10,1,17,17,1,captcha_detected,post_fill_pre_action
gh-188dad2523cc1d93f5e0,2026-07-17T18:04:47Z,Warp,Forward Deployed Engineer,warp,5749183004,https://job-boards.greenhouse.io/warp/jobs/5749183004,github:29602318645:1,6,1,14,14,1,captcha_detected,post_fill_pre_action
gh-38fdf690d63ee4bbf123,2026-07-17T18:04:47Z,"Couchbase, Inc.","Sr Manager, Customer Success Operations",couchbaseinc,4690191006,https://job-boards.greenhouse.io/couchbaseinc/jobs/4690191006,github:29602318645:1,5,1,13,13,1,captcha_detected,post_fill_pre_action
gh-d39d700c6d442fcb129b,2026-07-17T18:04:47Z,6sense,Staff Software Engineer - Infrastructure/DevOps,6sense,7647929,https://job-boards.greenhouse.io/6sense/jobs/7647929,github:29602318645:1,12,1,20,20,1,captcha_detected,post_fill_pre_action
gh-d82f273d260062153c3c,2026-07-17T18:04:47Z,Glean,"Software Engineer, Insights",gleanwork,4659229005,https://job-boards.greenhouse.io/gleanwork/jobs/4659229005,github:29602318645:1,6,1,14,14,1,captcha_detected,post_fill_pre_action
gh-16045b01b5246fcc2c36,2026-07-17T18:12:30Z,Human Interest,"Customer Success Support Associate I, Bilingual",humaninterest,8039846,https://job-boards.greenhouse.io/humaninterest/jobs/8039846,github:29602763789:1,14,1,20,20,1,captcha_detected,post_fill_pre_action
gh-30a475f644f333056bfc,2026-07-17T18:12:30Z,Octaura,Software Engineer,octaura,4624477007,https://job-boards.greenhouse.io/octaura/jobs/4624477007,github:29602763789:1,5,1,13,13,1,captcha_detected,post_fill_pre_action
gh-84bf3ca4d4c26160ebd6,2026-07-17T18:12:30Z,Proton,Site Reliability Engineer - Application Edge,proton,4612377101,https://job-boards.greenhouse.io/proton/jobs/4612377101,github:29602763789:1,14,1,20,20,1,captcha_detected,post_fill_pre_action
gh-99bd2ea739995161ca95,2026-07-17T18:12:30Z,OneTrust,Senior Solutions Engineer - West,onetrust,8031894,https://job-boards.greenhouse.io/onetrust/jobs/8031894,github:29602763789:1,6,1,13,13,1,captcha_detected,post_fill_pre_action
gh-c4e2d590ee239b382d98,2026-07-17T18:12:30Z,Greenhouse,Mid-Market Sales Development Representative,greenhouse,7758505,https://job-boards.greenhouse.io/greenhouse/jobs/7758505,github:29602763789:1,14,1,21,21,1,captcha_detected,post_fill_pre_action
gh-0c27636df4f46296519a,2026-07-17T18:19:25Z,Minitab,Cybersecurity Program Manager,minitab,7649775003,https://job-boards.greenhouse.io/minitab/jobs/7649775003,github:29603278294:1,9,1,17,17,1,captcha_detected,post_fill_pre_action
gh-0e95c1b25e3a27ea44bd,2026-07-17T18:19:25Z,Industrial Electric Manufacturing,Recruiter / Talent Acquisition Partner - 14-Month Contract,industrialelectricmanufacturing,4290850009,https://job-boards.greenhouse.io/industrialelectricmanufacturing/jobs/4290850009,github:29603278294:1,22,1,28,28,1,captcha_detected,post_fill_pre_action
gh-296d22b6c5b3124c0222,2026-07-17T18:19:25Z,GoFundMe,"Account Executive, Mid-Market",gofundme,7398335,https://job-boards.greenhouse.io/gofundme/jobs/7398335,github:29603278294:1,7,1,15,15,1,captcha_detected,post_fill_pre_action
gh-e1c7df5693d23dcc0605,2026-07-17T18:19:25Z,"Employment Opportunities at BuzzFeed, Inc.",Director of Photography (Project-Based),buzzfeed,7867451,https://job-boards.greenhouse.io/buzzfeed/jobs/7867451,github:29603278294:1,14,1,21,21,1,captcha_detected,post_fill_pre_action
gh-eb49d5d5d9a218124c6c,2026-07-17T18:19:25Z,Flipp,Digital Campaign/Performance Marketing Specialist,flipp,7513742,https://job-boards.greenhouse.io/flipp/jobs/7513742,github:29603278294:1,10,1,17,17,1,captcha_detected,post_fill_pre_action
gh-64df98e74f189a4055f2,2026-07-17T18:23:22Z,Canonical,Customer Success  - Team Manager,canonical,7548330,https://job-boards.greenhouse.io/canonical/jobs/7548330,github:29603472784:1,17,1,25,25,1,captcha_detected,post_fill_pre_action
gh-81ddc562804137b7a088,2026-07-17T18:23:22Z,Cloudflare,Incident Response Analyst - React,cloudflare,8025650,https://job-boards.greenhouse.io/cloudflare/jobs/8025650,github:29603472784:1,8,1,14,14,1,captcha_detected,post_fill_pre_action
gh-009a8e3b4df2fc30f7df,2026-07-17T18:26:33Z,Anthropic,"Staff+ Software Engineer, Backend",anthropic,5174755008,https://job-boards.greenhouse.io/anthropic/jobs/5174755008,github:29603695441:1,14,1,22,22,1,captcha_detected,post_fill_pre_action
gh-197ec29eec7524100411,2026-07-17T18:26:33Z,Scale AI,"Staff Software Engineer, Full Stack - Gen AI",scaleai,4713608005,https://job-boards.greenhouse.io/scaleai/jobs/4713608005,github:29603695441:1,6,1,14,14,1,captcha_detected,post_fill_pre_action
gh-90ce5714024d395f406b,2026-07-17T18:29:31Z,Samsara Talent Attraction Opportunities,Military Veterans x Sales Careers at Samsara,recruitingprograms,6422387,https://job-boards.greenhouse.io/recruitingprograms/jobs/6422387,github:29603886075:1,2,1,8,8,1,captcha_detected,post_fill_pre_action
gh-a6708f4766f4519f774c,2026-07-17T18:29:31Z,Flexport,"Director of Sales, Automotive",flexport,8059905,https://job-boards.greenhouse.io/flexport/jobs/8059905,github:29603886075:1,9,1,16,16,1,captcha_detected,post_fill_pre_action
gh-b06d9b15a5d0c69c12e2,2026-07-17T18:29:31Z,DataDome,Spontaneous Applications,ddome,6126779002,https://job-boards.greenhouse.io/ddome/jobs/6126779002,github:29603886075:1,2,1,10,10,1,captcha_detected,post_fill_pre_action
